"feature","contrast","baseMean","log2FoldChange","pvalue","padj"
"Zfp945","T4400_vs_DMSO",298.559351876809,0.481407577443419,5.4471559472511e-08,0.000716573364860882
"4933404O12Rik","T4400_vs_DMSO",581.565319676976,-0.432374908478692,6.23124561645542e-07,0.00175391533651399
"Ccdc88a","T4400_vs_DMSO",315.999712906113,0.713394515864463,1.17775376620477e-06,0.00175391533651399
"Cdkn2d","T4400_vs_DMSO",1056.2758535128,-0.486359384932679,1.23965382835633e-06,0.00175391533651399
"Cmc2","T4400_vs_DMSO",417.256426049551,-0.428349850095375,3.65751710114802e-07,0.00175391533651399
"Ctnnbip1","T4400_vs_DMSO",1346.84395295339,-0.27945994518222,1.73324966740265e-06,0.00175391533651399
"Enpp2","T4400_vs_DMSO",1618.96786429783,1.36055158636252,1.65992622887462e-06,0.00175391533651399
"Hhat","T4400_vs_DMSO",623.567433317669,-0.64049516052886,9.59552760772417e-07,0.00175391533651399
"Impdh2","T4400_vs_DMSO",5886.0271508044,-0.427606706881493,1.41658079878132e-06,0.00175391533651399
"Mfsd6","T4400_vs_DMSO",224.306900474588,0.753318129050505,1.15926111346238e-06,0.00175391533651399
"Naa10","T4400_vs_DMSO",1013.05322259947,-0.342029193449308,1.24857948274812e-06,0.00175391533651399
"Pcdh7","T4400_vs_DMSO",3896.24577475084,0.496409336184594,1.61175928242036e-06,0.00175391533651399
"Wnt10b","T4400_vs_DMSO",161.20790896824,0.634935931540853,6.07265872538841e-07,0.00175391533651399
"Tbc1d16","T4400_vs_DMSO",871.698250132514,-0.393344453673542,1.90226583148152e-06,0.00178745050093853
"Hopx","T4400_vs_DMSO",508.86661716781,-0.847425531650422,2.329944053098e-06,0.00204336093456694
"Ank2","T4400_vs_DMSO",357.648178046565,0.939793570632956,3.64952114682904e-06,0.00219090414284308
"Ccnd2","T4400_vs_DMSO",750.27332204248,0.80215116329993,3.09335839483028e-06,0.00219090414284308
"Gm6093","T4400_vs_DMSO",232.241703647015,1.00331213456013,4.07931221577469e-06,0.00219090414284308
"Hnrnpl","T4400_vs_DMSO",8458.03046779651,-0.290797195801138,3.78259702564879e-06,0.00219090414284308
"Impact","T4400_vs_DMSO",3534.56930470032,0.526497856237643,3.88515235287161e-06,0.00219090414284308
"Ngef","T4400_vs_DMSO",1036.56219591925,-0.515332238378504,2.76325684146015e-06,0.00219090414284308
"Psmb10","T4400_vs_DMSO",361.874248486326,-0.421104093691727,3.39142271330785e-06,0.00219090414284308
"Rangap1","T4400_vs_DMSO",5260.16619982558,-0.514187143217989,4.18742609727286e-06,0.00219090414284308
"Rbm14","T4400_vs_DMSO",1267.86534002496,-0.337446591873769,4.33017922568757e-06,0.00219090414284308
"Rnf13","T4400_vs_DMSO",3001.30868390649,0.693785349588804,3.87490650578807e-06,0.00219090414284308
"Tbc1d9","T4400_vs_DMSO",413.935307334416,0.357220919384188,3.98457586403584e-06,0.00219090414284308
"Canx","T4400_vs_DMSO",20113.3153701126,0.438364892016838,5.2753877273724e-06,0.0023930250190891
"Tufm","T4400_vs_DMSO",2974.24435812704,-0.251256415542849,5.11314600001701e-06,0.0023930250190891
"Tyms","T4400_vs_DMSO",1108.56662598966,-0.592496205493579,4.92780098899183e-06,0.0023930250190891
"Mrpl9","T4400_vs_DMSO",2122.03078101347,-0.23199626841251,5.71863358953695e-06,0.00250762082901195
"Cx3cl1","T4400+LIPUS_vs_DMSO",2547.39690392695,-0.434869832185237,2.11589125418431e-06,0.00955955015367942
"Dlc1","T4400+LIPUS_vs_DMSO",1537.44498899319,-0.457857073563495,2.22591201963973e-06,0.00955955015367942
"Hopx","T4400+LIPUS_vs_DMSO",508.86661716781,-0.872194970131938,1.32373323072446e-06,0.00955955015367942
"Aim1","T4400+LIPUS_vs_DMSO",1518.37842298381,-0.621949595118504,5.09830873612823e-06,0.016421652439069
"Cdca7l","T4400+LIPUS_vs_DMSO",585.076267077911,-0.592391381711425,7.20909850315096e-06,0.0185764050229194
"Arrb1","T4400+LIPUS_vs_DMSO",854.881207969966,-0.319651664326011,1.35100829756375e-05,0.0285857516817292
"Nfix","T4400+LIPUS_vs_DMSO",14177.855367048,-0.343351214851317,1.55309113452425e-05,0.0285857516817292
"4930579G24Rik","T4400+LIPUS_vs_DMSO",375.01229620048,-0.759042231175184,0.000132630363569497,0.0306260798814104
