"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group_safe",0.96645111489932,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02037859367535,0.029104538350993
"0610007P14Rik","Group_safe",0.939758916662859,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994936094993614,-0.00732423093620804
"0610009B22Rik","Group_safe",0.24507364608036,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.935212262439984,-0.096634248373897
"0610009L18Rik","Group_safe",0.198664580042201,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.790254631829923,-0.339610508827849
"0610009O20Rik","Group_safe",0.40306240521869,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04387009821208,0.0619421905231677
"0610010F05Rik","Group_safe",0.204687406797016,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.831426306815081,-0.266339698487225
"0610010K14Rik","Group_safe",0.199996049780436,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09988739437941,0.137355829307973
"0610011F06Rik","Group_safe",0.708290988260982,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02629894924009,0.0374510328599111
"0610012G03Rik","Group_safe",0.720561518400971,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03120537949386,0.0443316949457037
"0610030E20Rik","Group_safe",0.124165782013604,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.885321155003782,-0.175727199371211
"0610037L13Rik","Group_safe",0.795344272408155,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.983186874979656,-0.0244624382574939
"0610038B21Rik","Group_safe",0.652232057471359,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.19038872199206,0.251432763209118
"0610040B10Rik","Group_safe",0.64601844120445,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.12072186844784,0.164428286352541
"1110001J03Rik","Group_safe",0.504220639198304,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09080081865464,0.125387688120262
"1110002L01Rik","Group_safe",0.989735676540958,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.998181411489477,-0.00262605720869718
"1110004E09Rik","Group_safe",0.548278615620827,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.947149217324212,-0.0783363638767487
"1110004F10Rik","Group_safe",0.988261445727583,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00096588240119,0.00139280121741722
"1110006O24Rik","Group_safe",0.32421735511139,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.719322144998015,-0.475290075396723
"1110007C09Rik","Group_safe",0.798901046286088,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.973374132158771,-0.0389336600101551
"1110008F13Rik","Group_safe",0.714345777707337,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.970965303290075,-0.0425083519367186
"1110008L16Rik","Group_safe",0.632512364636131,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02638248815731,0.0375684609025406
"1110008P14Rik","Group_safe",0.930039746136078,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994250069577384,-0.0083193368974148
"1110012L19Rik","Group_safe",0.925033423071036,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.990140902494685,-0.0142942516488912
"1110017D15Rik","Group_safe",0.258620096377858,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.548345430319433,-0.866843089278546
"1110019D14Rik","Group_safe",0.509630642936025,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09975779467163,0.137185826566744
"1110020A21Rik","Group_safe",0.765637529896266,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.909106474832474,-0.137478821681433
"1110032A03Rik","Group_safe",0.596922863338031,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04440403872398,0.0626799416946326
"1110034G24Rik","Group_safe",0.937865898507376,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00792896610154,0.0113939683377242
"1110037F02Rik","Group_safe",0.500901314972817,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.954527029638764,-0.0671420434355494
"1110038B12Rik","Group_safe",0.394479603755806,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.911542103625819,-0.133618799797594
"1110038F14Rik","Group_safe",0.869271200645547,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01067489904166,0.0153190041976808
