"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02"
"k__Bacteria;__;__;__;__;__;__",5,0,0,0,0,11,6,3,3,0,0,0,8,3,0,0,7,0,0,5,0,0,0,0,15,0,0,7,6,5,3,0,0,0,0,8,0,0,0,0,0,6,13,0,3,0,2,0,0,0,8,0,3,4,0,10,0,10,0,0,0,6,0,0,4,0,2,0,276,17,0,3
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__",0,12,0,37,0,0,0,0,195,0,2978,0,459,497,0,43,3100,7626,41,54,0,54,161,71,166,0,160,0,0,0,174,0,94,343,44,0,0,0,0,0,31,22,108,521,39,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,661,435,0,0,69,0,223,308,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__",0,0,329,352,0,29,0,21,78,19,0,0,56,365,0,0,14,34,0,19,0,54,56,0,48,0,101,139,37,0,36,23,74,26,71,0,97,0,0,0,0,0,59,21,15,13,12,28,30,0,0,225,121,42,0,0,10,23,220,320,6,0,75,38,100,59,35,72,547,313,5,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__",421,229,587,448,62,391,592,311,390,691,876,790,621,444,582,275,175,9,2,65,195,115,585,0,620,65,1367,658,427,722,137,690,531,280,245,170,553,167,175,143,141,59,134,474,244,718,0,559,298,0,254,307,251,298,953,777,38,523,263,680,452,266,496,43,191,97,42,145,240,385,0,113
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",92,38,188,475,819,0,331,388,316,518,0,0,111,337,217,80,146,0,46,124,420,0,248,0,318,50,0,227,181,120,364,371,0,0,616,162,519,0,648,15,0,343,244,0,531,520,0,672,187,0,116,0,264,532,876,307,281,326,320,355,498,194,383,877,151,0,145,166,17,322,0,143
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum",0,0,0,0,0,7,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,185,0,0,0,0,0,0,0,12,14,0,0,0,0,0,4,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,0,0,10,0,0,10,0,0,0,0,33
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__",0,17,10,220,0,8,15,133,0,27,0,0,11,23,0,0,9,0,0,19,0,3,16,0,33,0,0,58,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,27,0,0,0,8,0,0,0,0,3,15,0,0,89,0,36,0,19,0,0,4,0,35,0,0,42,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum",0,5,0,0,0,0,0,0,0,0,0,0,0,0,132,0,8,0,0,50,0,94,0,0,13,0,0,0,0,0,114,0,0,0,0,0,7,0,0,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,143,9,0,0,124,78,83,164,0,0,0,0,0,0,0,114
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii",0,73,542,321,814,639,439,162,292,558,68,0,278,373,221,218,137,0,0,81,980,106,796,249,1120,433,615,687,498,197,402,445,719,941,501,185,763,1176,0,0,257,86,642,645,122,629,46,744,0,0,0,240,514,381,0,1706,0,374,830,1258,0,0,0,0,240,160,125,382,972,515,242,88
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__",80,709,173,376,175,272,248,99,92,258,352,118,32,240,340,169,328,98,3,178,133,208,426,0,306,416,88,257,149,64,213,242,108,24,42,40,344,327,0,1362,126,116,203,273,931,292,39,1010,311,1,93,0,169,84,470,183,2,190,340,61,156,164,0,0,315,652,92,212,194,148,40,30
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__",0,0,93,34,0,14,0,0,0,0,81,0,69,0,0,0,12,0,77,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,143,64,0,108,0,228,9,0,0,0,0,0,140,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus",144,197,0,118,0,0,0,49,0,0,0,0,111,0,712,68,77,0,79,140,223,484,55,0,0,0,0,107,305,145,599,158,0,62,0,0,341,0,724,109,103,65,39,112,125,125,64,207,732,287,802,0,63,0,396,127,1067,135,0,0,1159,262,552,691,138,0,77,0,0,0,560,204
