"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE"
"J_XYL_F_0001_01",1.76980144461698,0.651604490348589,2.87030105812947,22,22,22
"J_XYL_F_0001_02",2.26648911914108,0.695777760262657,3.28707066539045,63,63,63
"J_XYL_F_0002_01",3.53048045374912,0.96417586305166,27.9141407214374,49,50,50.6046176046176
"J_XYL_F_0002_02",3.70031759721138,0.965205207965826,28.7399332353484,70,70,70
"J_XYL_F_0003_01",3.12237890117442,0.946002936338822,18.5195255481819,32,32,33
"J_XYL_F_0003_02",2.13133775625416,0.674475673298696,3.07196703279747,56,57,56.7230078563412
"J_XYL_F_0004_01",3.34522825492016,0.947956068746262,19.2145361795316,52,52,52
"J_XYL_F_0004_02",2.45004163573119,0.717152464972714,3.53547362505221,67,67,67
"J_XYL_F_0005_01",2.33754824264407,0.713271674184988,3.48762194023749,47,47,47
"J_XYL_F_0005_02",3.44707916811129,0.95677213840319,23.1332285026516,55,55,55
"J_XYL_F_0006_01",2.17921919288235,0.784176353652712,4.63341258904908,25,25,25
"J_XYL_F_0006_02",2.3943996708738,0.880058586567775,8.33740383228903,19,19,NA
"J_XYL_F_0010_01",3.67658242417466,0.964722610787243,28.346768916742,65,65.5,66.4187867984659
"J_XYL_F_0010_02",3.61511479847558,0.946861843820237,18.8188689990874,76,76,76
"J_XYL_F_0012_01",1.97334773237208,0.63972370376753,2.7756474973717,39,39,39
"J_XYL_F_0012_02",1.78982166573429,0.538627149931256,2.16744439958051,53,53,53
"J_XYL_F_0013_01",2.86679698670571,0.856050602145583,6.9468856063667,68,68,68
"J_XYL_F_0013_02",1.43687316413696,0.517893866113759,2.07423206159821,48,48,48
"J_XYL_F_0015_01",2.52324569408781,0.839747405272108,6.24014857106054,39,39,39
"J_XYL_F_0015_02",2.54755777114694,0.78913855629454,4.74245069381598,55,55,55.2810319060954
"J_XYL_F_0016_01",2.92433350580881,0.878854414918691,8.25453110263022,51,51,51
"J_XYL_F_0016_02",3.1503785584963,0.919843438713275,12.4755850793416,54,54,54
"J_XYL_F_0018_01",3.68943637502735,0.964197315588067,27.9308665376695,70,70,70.3591404815895
"J_XYL_F_0018_02",2.25227596039764,0.835187238627547,6.06749132574841,19,19,19
"J_XYL_F_0020_01",3.51582949668008,0.955178004522879,22.3104747871041,63,63,63
"J_XYL_F_0020_02",3.15223944657135,0.936634531602988,15.7814662354356,48,48,48
"J_XYL_F_0025_01",3.16413008420285,0.933237265551772,14.9784158522666,45,45,NA
"J_XYL_F_0025_02",3.5711912742574,0.939238313026396,16.4577392400974,75,75,75
"J_XYL_F_0031_01",3.15804256816471,0.884387617070358,8.64959249744523,65,65,65.3950437317784
"J_XYL_F_0031_02",2.99253121730234,0.895963380737672,9.61200015043263,51,51,51
"J_XYL_F_0032_01",3.3422266934072,0.942131720243315,17.2806242764539,62,62,62.2861125917422
"J_XYL_F_0032_02",3.63458142888903,0.962520636108364,26.681349312419,62,62,62.4732750242954
"J_XYL_F_0034_01",3.47022285538785,0.945379892135929,18.3082758182871,60,60,60
"J_XYL_F_0034_02",2.08040456009514,0.668566394355144,3.01719554978241,49,49,49.4359650145773
"J_XYL_F_0036_01",3.00975919140981,0.90268760754531,10.2761834826496,50,50,50
"J_XYL_F_0036_02",2.76489416109306,0.857007843719925,6.99339058879094,44,44,44.2999183673469
"J_XYL_F_0043_01",3.59098440704702,0.949159894474849,19.6695107075515,75,75,75
"J_XYL_F_0043_2",2.67732350894446,0.90710740158744,10.765120333471,23,23,23
"J_XYL_F_0044_01",2.27381114668454,0.869208655051752,7.64576586008566,17,17,17
"J_XYL_F_0044_02",3.05460817835975,0.932393853544601,14.7915545025143,36,37,NA
"J_XYL_F_0045_01",1.14104194168222,0.373633420139949,1.59650918831498,26,26,26
"J_XYL_F_0045_2",1.21500849222288,0.357452953291649,1.55630627379398,51,51,51
"J_XYL_F_0046_01",3.86516085243251,0.971279076765828,34.817822249189,77,77,77
"J_XYL_F_0046_02",3.05751212272892,0.909080539497004,10.9987454222416,59,59,59
"J_XYL_F_0047_01",3.23996152299269,0.911485803753983,11.2976227815547,70,70,70.5176063504987
"J_XYL_F_0047_02",3.30833792446347,0.948387542114729,19.3751671781045,47,47,47
"J_XYL_F_0048_01",1.07641179568131,0.350522962839832,1.53970031700041,33,33,33
"J_XYL_F_0049_02",3.32807695270282,0.953483929659114,21.4979466810426,49,49,49
"J_XYL_F_0050_01",1.97385746401509,0.621329666324777,2.64081949672265,52,52,52
"J_XYL_F_0050_02",0.47143752749745,0.291998562207285,1.41242651020262,3,3,NA
"J_XYL_F_0051_01",1.62369980906414,0.580971698678672,2.38647365069778,36,36,36.3971955494589
"J_XYL_F_0051_02",3.11755547394131,0.943300169263208,17.6367369532747,32,32,NA
"J_XYL_F_0053_01",3.49009685911895,0.939576667998959,16.5498983072097,69,69,69
"J_XYL_F_0053_02",3.53876023539615,0.950608151789921,20.2462559357302,65,65,65
"J_XYL_F_0057_01",2.58239977840012,0.915531103180777,11.8386771658705,17,17,NA
"J_XYL_F_0057_02",3.08096537350699,0.926992628090247,13.6972469196143,48,48,48
"J_XYL_F_0058_01",2.22730723309637,0.712528853177502,3.47860997896064,46,46,46.4310254724456
"J_XYL_F_0058_02",3.46361588537282,0.955204248148456,22.3235453958683,60,60,60
"J_XYL_F_0059_01",3.75467851806292,0.966679850522939,30.0118701654822,66,66,NA
"J_XYL_F_0059_02",3.57150866784011,0.957827234525237,23.7119854186089,70,70,70.3493613824192
"J_XYL_F_0060_01",2.97370477189691,0.905211560202247,10.5498096828439,53,53,53
"J_XYL_F_0060_02",2.62572391291789,0.808749139226147,5.22873463655917,53,53,53
"J_XYL_F_0061_01",3.3244513391916,0.951469689436069,20.605678974229,49,49,49.4387755102041
"J_XYL_F_0061_02",3.03524101715311,0.928103078208116,13.9088013099454,42,42,42
"J_XYL_F_0062_01",3.22119607815614,0.904140394708261,10.4319227786992,72,73,72.7617578418575
"J_XYL_F_0062_02",2.81979288750474,0.862938021089047,7.29596937054066,56,56,56
"J_XYL_F_0064_01",2.03043960849636,0.58674163972415,2.41979375645903,70,70,70.8344671201814
"J_XYL_F_0064_02",2.1799538563958,0.684582982114412,3.17040598095672,43,43,43.417695473251
"J_XYL_F_0065_01",3.30661572747367,0.939499545309609,16.5288013969064,57,57,57
"J_XYL_F_0065_02",3.70749170111391,0.96869779719488,31.94663347579,66,66,66.5395731743431
"J_XYL_F_0066_01",2.28612704519635,0.812314166643658,5.32805264050691,27,27,27
"J_XYL_F_0066_02",1.81821869728212,0.664112727902289,2.97718932234233,37,37,37
