"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;__;__;__;__;__;__","Group",0.806079515836784,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",3.71428571428571,1.89308479608349
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__","Group",0.399862413040852,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.863221583019242,-0.212197158090211
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__","Group",0.454533559919963,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.998657718120805,-0.00193780424149265
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__","Group",0.910320198622858,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.08532254067895,0.118123852519631
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__","Group",0.294332954175723,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.25202297050378,0.324261031222524
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__dolichum","Group",0.756049849700728,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.425373134328358,-1.23319917629303
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__;s__","Group",0.359322343830815,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.276988636363636,-1.85210130488769
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__ramosum","Group",0.716567170181728,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.23846153846154,0.308549065086163
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii","Group",0.909924097488334,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.937588955308853,-0.0929725198104319
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__","Group",0.817375790965179,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.801645441226192,-0.318963804950083
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;__","Group",0.546120825241457,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.34672304439746,0.429453188916905
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__gnavus","Group",0.141298782254184,0.860647957425393,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.40057113187954,1.26337768546097
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__","Group",0.658383220427536,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.45542082738944,0.541436361247478
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__","Group",0.616711949564745,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.30120481927711,0.379848070816544
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis","Group",0.834484273602037,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.803610744165566,-0.315431242052146
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__","Group",0.689747433213827,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.01748251748252,0.0250040061298945
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;__;__","Group",0.987339739910094,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.574074074074074,-0.800691191776593
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__","Group",0.846399825124525,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.91389375364857,-0.129901642945329
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis","Group",0.572906771695125,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.714967609955677,-0.484050209660363
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__","Group",0.455272500007527,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",4.03225806451613,2.01158797427521
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__","Group",0.880191647906121,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.20920262932266,0.274056021116501
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__","Group",0.248629830077681,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.537962037962038,-0.894423724291786
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium;s__spiroforme","Group",0.0976533619988038,0.754100962101874,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.806896551724138,-0.30954437043153
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__","Group",0.0172156915375571,0.374931427281967,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.318661971830986,-1.64990123242148
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__;__;__","Group",0.227942167062611,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.16,-2.64385618977472
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__","Group",0.361635657777725,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.37587543346706,0.460349859826136
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__","Group",0.448930703668333,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.10588235294118,0.145197915539936
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa","Group",1,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.782923299565847,-0.353057116561443
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__","Group",0.61112847918242,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.989133771256676,-0.0157624494561681
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__","Group",0.592052715361026,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.871823617339312,-0.197891808657262
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__","Group",0.954786937875197,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.905544147843943,-0.143143116524822
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__","Group",0.0808238256369018,0.747100640345813,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.69871285555379,-0.517228410359404
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__","Group",0.638371846110719,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.20159629248198,0.264952266544951
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__","Group",0.668533438575081,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.994174191669094,-0.00842944285839125
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__","Group",0.453104711783349,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.41550474065811,0.501316580972731
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__","Group",0.331781629352255,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.21822995461422,0.284786483875123
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta","Group",1,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.28030303030303,0.356485316923731
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__","Group",0.343895769470212,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.29274004683841,0.370432197157679
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__","Group",0.847293950602056,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.2332268370607,0.302438190335462
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__","Group",0.143056819807044,0.860647957425393,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.296281566911911,-1.75495922272926
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__helveticus","Group",0.342726071750245,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.95416666666667,0.966553516906858
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__","Group",0.565055791321078,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.47905027932961,0.56467109672808
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__;__","Group",0.53059742966629,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.58064516129032,1.36773178450049
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__","Group",0.2364322451504,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.86706948640483,0.900775621097157
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__","Group",0.778392910543966,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.486111111111111,-1.04064198449735
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__moorei","Group",0.934195910224817,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.4,0.485426827170242
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri","Group",0.331990646579536,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.47961205548024,0.565218960312786
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila","Group",0.0475823618381846,0.608325519634908,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.172920544724209,-2.53181880884002
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus","Group",0.148601086174169,0.860647957425393,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.18192219679634,1.12559965881216
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__","Group",0.783260402935946,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.61970217640321,0.695728561179959
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__indistinctus","Group",0.47685918348513,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.2851711026616,1.19230219141888
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__","Group",0.7460718046991,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.684466019417476,-0.546949174784425
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis","Group",0.184464405786061,0.986175092471634,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.20025839793282,1.13767296353413
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;s__","Group",0.420791316450195,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.95,1.56071495447448
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__","Group",0.768838255684625,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.726315789473684,-0.461331151552779
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__","Group",0.0111007166471775,0.308599922791535,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.260450160771704,-1.94092076724598
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__longicatena","Group",0.105315749396047,0.762187059757429,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",3.40408163265306,1.76726563444209
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__","Group",0.539298520715832,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.40205743677668,0.487545452098579
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__","Group",0.300892911088947,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.344827586206897,-1.53605290024021
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__","Group",0.352795360467708,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.858292512246326,-0.220458682538215
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__","Group",0.712835317471744,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.20470309592286,0.268677632082858
