"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","log2FoldChange_unshrunk","stat_wald","significant","direction"
"Gene0035",103.879723813235,1.73708326462568,0.247424068089783,1.32530493285555e-13,1.31072657859414e-10,1.80119991979401,7.40361078883736,TRUE,"Up in treated"
"Gene0043",2367.90689202682,1.64180677393678,0.250519894762217,2.11336736089839e-12,1.04506015996425e-09,1.70990380040715,7.02679154329938,TRUE,"Up in treated"
"Gene0008",198.889283599712,1.93337234607232,0.300217701752427,3.28653884161601e-12,1.08346230478608e-09,2.01823355707992,6.96489281155345,TRUE,"Up in treated"
"Gene0014",104.205482146885,1.73453898274577,0.2805330704779,2.27345671203799e-11,4.76222570249677e-09,1.81624790027894,6.68728705366759,TRUE,"Up in treated"
"Gene0054",93.9571070011269,1.62109412169009,0.260455505400169,2.40759641177794e-11,4.76222570249677e-09,1.69637273535259,6.67888947669426,TRUE,"Up in treated"
"Gene0012",43.7387801409843,1.89956368178104,0.315387458976697,8.51268112114427e-11,1.40317360480195e-08,1.99478497147613,6.49125047662881,TRUE,"Up in treated"
"Gene0042",191.323640139709,1.56207618355473,0.262944849662838,1.08858808490193e-10,1.53801945138287e-08,1.63995537952822,6.45410709892919,TRUE,"Up in treated"
"Gene0003",132.372729409403,1.49873528785048,0.258999463754025,3.55523748601285e-10,4.39516234208339e-08,1.57773253784528,6.27240045740157,TRUE,"Up in treated"
"Gene0100",37.2821933361027,-1.8998799489121,0.329259620280577,4.28392816090175e-10,4.56747661132248e-08,-2.00419907901755,-6.24331504169202,TRUE,"Down in treated"
"Gene0098",160.199863191009,-1.62120216692308,0.283891051082634,4.61827766564457e-10,4.56747661132248e-08,-1.71056007375451,-6.23155500902372,TRUE,"Down in treated"
"Gene0004",210.278191366396,1.4946093248999,0.268320897661288,1.08740645088063e-09,9.77677254473587e-08,1.57908678090873,6.09602172015626,TRUE,"Up in treated"
"Gene0040",102.615129112221,1.58487318973966,0.290516984191465,2.73242922241845e-09,2.2519770841432e-07,1.67870165262246,5.94691517071507,TRUE,"Up in treated"
"Gene0006",152.378197850743,1.68366576609258,0.313080755764581,3.58754989178449e-09,2.72929757151913e-07,1.78688994804741,5.90216826222367,TRUE,"Up in treated"
"Gene0049",233.563747448898,1.57251587910608,0.298448819011129,5.2213232398485e-09,3.68849191729297e-07,1.67227738263574,5.83996039737479,TRUE,"Up in treated"
"Gene0062",153.999950606302,-1.39271212121326,0.277540703369012,2.22248281742911e-08,1.46535700429159e-06,-1.48938873565518,-5.59372546833752,TRUE,"Down in treated"
"Gene0038",113.540957424668,1.3510073135341,0.271801529470399,3.80778899614075e-08,2.3536895732395e-06,1.44515384679767,5.49954204781101,TRUE,"Up in treated"
"Gene0085",166.00787583625,-1.29925732491102,0.276793387732678,1.07455508686417e-07,6.25138224063922e-06,-1.40108158273657,-5.31364220211695,TRUE,"Down in treated"
"Gene0021",48.4552415720921,1.34393110831495,0.28770159307602,1.65233038566735e-07,9.0786375079167e-06,1.4500120734402,5.23472236701229,TRUE,"Up in treated"
"Gene0057",39.529435531367,1.61494315273466,0.362766094393208,2.81799758048974e-07,1.32714267004969e-05,1.7590757369516,5.13522961351051,TRUE,"Up in treated"
"Gene0086",36.8156256178688,-1.52657582197825,0.335438596700524,2.73135637688542e-07,1.32714267004969e-05,-1.65495574883982,-5.14109930298819,TRUE,"Down in treated"
"Gene0017",111.134099642956,1.45449235899912,0.320837131766735,2.64493701824932e-07,1.32714267004969e-05,1.57544088773582,5.14713590769648,TRUE,"Up in treated"
